Sector,Outcome,Output,Area,Partner,Category,Value
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Akkar,TdH   It,Refugee,147200
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Akkar,IOM,Refugee,851000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Akkar,PU AMI,Refugee,190008
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Akkar,IRC,Refugee,5302295
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Akkar,TdH   It,Stabilization,800
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Akkar,IOM,Stabilization,1000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Akkar,PU AMI,Stabilization,1512
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Akkar,IRC,Stabilization,12964
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Beirut,IOM,Refugee,423700
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Beirut,PU AMI,Refugee,142506
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Beirut,ACTED,Refugee,4919921
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Beirut,UNHCR,Refugee,35251898.94
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Beirut,SIF,Refugee,1169775
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Beirut,IOM,Stabilization,300
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Beirut,PU AMI,Stabilization,1134
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Beirut,ACTED,Stabilization,6120
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Beirut,UNHCR,Stabilization,13524.549
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Beirut,SIF,Stabilization,129975
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Bekaa,ActionAid,Refugee,124000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Bekaa,IOM,Refugee,851000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Bekaa,OXFAM,Refugee,78750
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Bekaa,ACF,Refugee,118000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Bekaa,UNHCR,Refugee,46629237.76
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Bekaa,ActionAid,Stabilization,1000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Bekaa,IOM,Stabilization,1000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Bekaa,OXFAM,Stabilization,8750
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Bekaa,ACF,Stabilization,12000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Bekaa,UNHCR,Stabilization,17889.529
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Countrywide,UNRWA,Refugee,219780
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Countrywide,UNRWA,Stabilization,24420
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,South,IOM,Refugee,851000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,South,PU AMI,Refugee,142506
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,South,Solidar Suisse,Refugee,591000
