DumpTotal,Sector,Outcome,,Output,Activity,Area,Partner,Value
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,Akkar,IOM,9000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,Akkar,IRC,116676
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,Akkar,PU-AMI,13608
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,Akkar,TdH - It,7200
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,Beirut,ACTED,55080
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,Beirut,IOM,2700
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,Beirut,PU-AMI,10206
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,Beirut,SIF,1169775
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,Beirut,UNHCR,121720.941
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,Bekaa,ACF,108000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,Bekaa,ActionAid,9000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,Bekaa,IOM,9000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,Bekaa,OXFAM,78750
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,Bekaa,UNHCR,161005.761
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,Countrywide,UNRWA,219780
